Year,2018,2019,2020,2021,2022
METRIC,,,,,
,,,,,
CLIMATE AND AIR EMISSIONS,,,,,
,,,,,
GHGs (thousand tonnes),,,,,
  CO2 from Operations,"5,000","5,900","4,600","6,200","6,129"
  CO2 from Imported Electricity,600,600,400,600,711
  Methane (CO2 equivalent) ,"1,400","1,600","1,500","1,600","1,593"
  Nitrous Oxide (CO2 equivalent) ,0,0,0,10,8
Total Greenhouse Gases ,"7,000","8,100","6,500","8,410","8,441"
,,,,,
"Flaring Volume (million cubic feet, routine and non-routine)","13,300","20,200","11,700","17,700","15,972"
,,,,,
Other Air Emissions (tonnes),,,,,
  Volatile Organic Compounds (VOCs),"6,188","63,100","56,400","92,400","94,257"
  Nitrogen Oxides (NOx),"23,300","25,100","20,300","34,400","42,846"
  Sulfur Oxides (SOx),"4,000","3,800","1,400","1,700","1,548"
  Particulate Matter (PM),900,"1,000",900,"1,400","1,246"
,,,,,
Energy Use (trillion BTUs),,,,,
  Combustion Energy,60,67,58,78,81
  Imported Electricity,2,2,2,4,6
Total Energy,62,69,60,82,87
,,,,,
ENVIRONMENT,,,,,
,,,,,
Water ,,,,,
  Fresh Water Withdrawn (million cubic meters),"13,000",8.3,5.7,5.8,5.4
  Non-Fresh Water Withdrawn (million cubic meters) 5 ,"15,100",20.6,17.3,25.5,26.7
  Produced Water Recycle/Reuse (million cubic meters) 6 ,"56,700",60.8,44.4,54.6,49.6
  Hydrocarbons in Overboard Discharges (tonnes),0,0,0,0,0
,,,,,
,,,,,
PRODUCTION,,,,,
,,,,,
Total Operated Production (MMBOE) 9,240,261,219,412,445
